order_id,order_date,ship_date,ship_mode,customer_id,region,sales_rep,category,sub_category,unit_price,quantity,discount,sales,cost,profit,profit_pct
ORD-00001,2023-04-15,2023-04-21,Express,CUST_0115,East,Rep_08,Electronics,Laptops,1533.2,9,0.0,13798.8,8653.89,5144.91,37.29
ORD-00002,2024-07-28,2024-07-30,Standard,CUST_0120,North,Rep_07,Electronics,Laptops,1488.84,9,0.05,12729.58,6570.15,6159.43,48.39
ORD-00003,2023-10-12,2023-10-14,Same Day,CUST_0217,North,Rep_06,Sports,Sportswear,131.2,6,0.0,787.2,376.14,411.06,52.22
ORD-00004,2024-04-15,2024-04-20,Standard,CUST_0136,East,Rep_20,Electronics,Tablets,424.69,7,0.0,2972.83,1830.11,1142.72,38.44
ORD-00005,2024-11-08,2024-11-10,Standard,CUST_0036,Central,Rep_07,Sports,Sportswear,393.34,2,0.2,629.34,327.15,302.19,48.02
ORD-00006,2024-01-15,2024-01-18,Express,CUST_0187,East,Rep_15,Electronics,Accessories,577.11,5,0.15,2452.72,1792.93,659.79,26.9
ORD-00007,2024-01-24,2024-01-27,Economy,CUST_0084,Central,Rep_08,Electronics,Phones,1981.14,9,0.0,17830.26,11685.67,6144.59,34.46
ORD-00008,2023-03-09,2023-03-11,Same Day,CUST_0206,North,Rep_11,Electronics,Phones,1843.65,10,0.15,15671.02,8531.36,7139.66,45.56
ORD-00009,2023-09-10,2023-09-16,Express,CUST_0136,West,Rep_05,Clothing,Jackets,149.11,5,0.15,633.72,396.31,237.41,37.46
ORD-00010,2023-04-04,2023-04-11,Economy,CUST_0071,East,Rep_08,Sports,Footwear,52.14,2,0.0,104.28,66.56,37.72,36.17
ORD-00011,2024-07-20,2024-07-27,Same Day,CUST_0240,West,Rep_13,Clothing,Shirts,236.76,2,0.15,402.49,287.96,114.53,28.46
ORD-00012,2024-04-09,2024-04-10,Express,CUST_0223,North,Rep_10,Office Supplies,Staplers,76.54,5,0.1,344.43,233.73,110.7,32.14
ORD-00013,2024-01-18,2024-01-25,Express,CUST_0102,East,Rep_17,Sports,Gym Equipment,105.93,9,0.0,953.37,600.32,353.05,37.03
ORD-00014,2023-03-01,2023-03-03,Express,CUST_0158,North,Rep_12,Clothing,Shirts,221.94,2,0.0,443.88,297.21,146.67,33.04
ORD-00015,2023-09-29,2023-10-04,Express,CUST_0282,South,Rep_16,Electronics,Phones,1770.38,7,0.0,12392.66,9030.21,3362.45,27.13
ORD-00016,2023-05-04,2023-05-06,Economy,CUST_0225,West,Rep_12,Furniture,Cabinets,257.29,6,0.0,1543.74,967.14,576.6,37.35
ORD-00017,2023-03-11,2023-03-12,Express,CUST_0031,North,Rep_03,Furniture,Desks,701.74,2,0.1,1263.13,658.6,604.53,47.86
ORD-00018,2023-09-06,2023-09-13,Economy,CUST_0293,Central,Rep_05,Clothing,Pants,128.78,7,0.0,901.46,431.17,470.29,52.17
ORD-00019,2024-11-20,2024-11-26,Standard,CUST_0240,West,Rep_14,Clothing,Shoes,246.36,2,0.0,492.72,281.24,211.48,42.92
ORD-00020,2023-05-24,2023-05-28,Economy,CUST_0098,South,Rep_07,Office Supplies,Pens,18.76,8,0.0,150.08,106.91,43.17,28.76
ORD-00021,2023-04-06,2023-04-13,Standard,CUST_0026,Central,Rep_04,Electronics,Accessories,1727.65,3,0.05,4923.8,2933.07,1990.73,40.43
ORD-00022,2024-02-04,2024-02-07,Standard,CUST_0195,North,Rep_06,Furniture,Tables,748.56,8,0.0,5988.48,3454.77,2533.71,42.31
ORD-00023,2023-03-01,2023-03-06,Express,CUST_0152,South,Rep_07,Sports,Footwear,375.8,1,0.15,319.43,173.8,145.63,45.59
ORD-00024,2024-06-04,2024-06-05,Standard,CUST_0081,Central,Rep_17,Electronics,Accessories,1732.42,2,0.1,3118.36,1466.84,1651.52,52.96
ORD-00025,2024-09-26,2024-09-27,Standard,CUST_0127,North,Rep_19,Furniture,Tables,393.46,10,0.1,3541.14,2148.89,1392.25,39.32
ORD-00026,2023-05-15,2023-05-21,Economy,CUST_0136,East,Rep_08,Office Supplies,Paper,53.41,8,0.0,427.28,311.36,115.92,27.13
ORD-00027,2023-03-17,2023-03-22,Standard,CUST_0289,West,Rep_20,Electronics,Laptops,583.68,5,0.0,2918.4,2130.37,788.03,27.0
ORD-00028,2024-07-10,2024-07-16,Economy,CUST_0081,East,Rep_10,Electronics,Phones,744.53,9,0.0,6700.77,4357.91,2342.86,34.96
ORD-00029,2023-04-20,2023-04-26,Standard,CUST_0136,North,Rep_05,Sports,Sportswear,290.02,5,0.0,1450.1,915.66,534.44,36.86
ORD-00030,2023-02-22,2023-02-23,Same Day,CUST_0251,East,Rep_17,Office Supplies,Paper,52.57,5,0.0,262.85,118.56,144.29,54.89
ORD-00031,2024-07-28,2024-07-29,Economy,CUST_0283,South,Rep_15,Furniture,Cabinets,178.31,3,0.1,481.44,221.85,259.59,53.92
ORD-00032,2024-01-09,2024-01-16,Same Day,CUST_0022,West,Rep_05,Office Supplies,Paper,77.91,1,0.0,77.91,39.97,37.94,48.7
ORD-00033,2023-08-31,2023-09-07,Express,CUST_0209,East,Rep_18,Furniture,Chairs,213.75,3,0.05,609.19,278.67,330.52,54.26
ORD-00034,2024-01-27,2024-02-03,Standard,CUST_0082,South,Rep_09,Office Supplies,Binders,7.9,8,0.0,63.2,32.22,30.98,49.02
ORD-00035,2024-11-06,2024-11-08,Standard,CUST_0115,East,Rep_08,Clothing,Shoes,111.65,5,0.2,446.6,210.27,236.33,52.92
ORD-00036,2023-01-29,2023-01-30,Same Day,CUST_0275,Central,Rep_13,Office Supplies,Staplers,70.78,5,0.0,353.9,220.9,133.0,37.58
ORD-00037,2023-11-18,2023-11-22,Same Day,CUST_0223,North,Rep_20,Office Supplies,Pens,50.47,9,0.0,454.23,256.89,197.34,43.44
ORD-00038,2024-06-16,2024-06-23,Standard,CUST_0224,East,Rep_02,Sports,Outdoor Gear,283.07,4,0.0,1132.28,656.03,476.25,42.06
ORD-00039,2024-11-13,2024-11-17,Same Day,CUST_0260,North,Rep_10,Office Supplies,Staplers,29.46,5,0.1,132.57,64.72,67.85,51.18
ORD-00040,2024-02-20,2024-02-25,Same Day,CUST_0292,South,Rep_20,Clothing,Jackets,211.76,5,0.0,1058.8,543.22,515.58,48.69
ORD-00041,2024-06-07,2024-06-11,Express,CUST_0227,West,Rep_15,Sports,Sportswear,403.06,3,0.15,1027.8,488.66,539.14,52.46
ORD-00042,2023-07-23,2023-07-25,Express,CUST_0159,North,Rep_08,Sports,Sportswear,41.48,4,0.05,157.62,99.83,57.79,36.66
ORD-00043,2024-05-21,2024-05-25,Economy,CUST_0100,West,Rep_19,Electronics,Accessories,639.17,1,0.2,511.34,362.1,149.24,29.19
ORD-00044,2023-02-21,2023-02-26,Economy,CUST_0266,South,Rep_06,Electronics,Accessories,648.56,2,0.05,1232.26,603.81,628.45,51.0
ORD-00045,2024-07-15,2024-07-19,Economy,CUST_0259,West,Rep_20,Clothing,Shoes,226.36,8,0.05,1720.34,907.92,812.42,47.22
ORD-00046,2024-03-26,2024-03-27,Same Day,CUST_0123,Central,Rep_16,Furniture,Cabinets,599.48,4,0.0,2397.92,1320.66,1077.26,44.92
ORD-00047,2024-12-11,2024-12-13,Economy,CUST_0119,South,Rep_05,Sports,Gym Equipment,362.02,2,0.05,687.84,393.64,294.2,42.77
ORD-00048,2024-02-03,2024-02-10,Economy,CUST_0106,West,Rep_02,Sports,Footwear,304.52,1,0.2,243.62,173.99,69.63,28.58
ORD-00049,2024-02-04,2024-02-11,Same Day,CUST_0181,West,Rep_01,Sports,Footwear,449.07,7,0.1,2829.14,1907.56,921.58,32.57
ORD-00050,2024-05-12,2024-05-13,Economy,CUST_0140,West,Rep_08,Sports,Outdoor Gear,212.76,7,0.15,1265.92,632.34,633.58,50.05
ORD-00051,2024-08-29,2024-09-03,Economy,CUST_0014,Central,Rep_18,Clothing,Pants,172.49,2,0.15,293.23,169.66,123.57,42.14
ORD-00052,2023-08-05,2023-08-09,Same Day,CUST_0195,North,Rep_09,Clothing,Pants,95.17,7,0.0,666.19,450.08,216.11,32.44
ORD-00053,2023-12-25,2023-12-27,Standard,CUST_0010,North,Rep_16,Clothing,Shoes,169.53,1,0.2,135.62,62.29,73.33,54.07
ORD-00054,2023-05-10,2023-05-14,Express,CUST_0079,North,Rep_20,Furniture,Desks,568.62,10,0.0,5686.2,3352.07,2334.13,41.05
ORD-00055,2023-11-15,2023-11-16,Express,CUST_0059,South,Rep_20,Office Supplies,Staplers,48.4,5,0.1,217.8,142.27,75.53,34.68
ORD-00056,2024-12-14,2024-12-21,Standard,CUST_0125,South,Rep_03,Clothing,Jackets,89.36,10,0.2,714.88,347.66,367.22,51.37
ORD-00057,2023-03-12,2023-03-17,Same Day,CUST_0220,East,Rep_18,Sports,Gym Equipment,334.35,1,0.2,267.48,154.07,113.41,42.4
ORD-00058,2024-03-21,2024-03-23,Express,CUST_0236,West,Rep_12,Clothing,Shirts,188.77,5,0.1,849.47,588.22,261.25,30.75
ORD-00059,2023-09-09,2023-09-16,Same Day,CUST_0138,West,Rep_14,Sports,Footwear,469.27,5,0.05,2229.03,1166.14,1062.89,47.68
ORD-00060,2023-07-06,2023-07-10,Same Day,CUST_0254,East,Rep_01,Clothing,Jackets,68.79,5,0.0,343.95,183.63,160.32,46.61
ORD-00061,2023-03-29,2023-03-31,Express,CUST_0265,Central,Rep_01,Sports,Sportswear,368.44,8,0.1,2652.77,1797.12,855.65,32.25
ORD-00062,2023-08-15,2023-08-19,Same Day,CUST_0048,West,Rep_01,Clothing,Jackets,179.11,5,0.15,761.22,475.36,285.86,37.55
ORD-00063,2024-12-20,2024-12-24,Same Day,CUST_0170,West,Rep_18,Clothing,Shoes,82.31,5,0.0,411.55,200.09,211.46,51.38
ORD-00064,2023-08-10,2023-08-16,Express,CUST_0095,North,Rep_18,Furniture,Cabinets,438.94,10,0.2,3511.52,2132.87,1378.65,39.26
ORD-00065,2023-07-03,2023-07-06,Same Day,CUST_0117,South,Rep_10,Office Supplies,Pens,6.06,9,0.0,54.54,29.03,25.51,46.77
ORD-00066,2024-08-10,2024-08-13,Standard,CUST_0053,South,Rep_16,Electronics,Tablets,1044.91,8,0.0,8359.28,4224.02,4135.26,49.47
ORD-00067,2024-05-18,2024-05-19,Economy,CUST_0034,West,Rep_04,Electronics,Tablets,1238.64,1,0.0,1238.64,612.83,625.81,50.52
ORD-00068,2024-09-12,2024-09-17,Economy,CUST_0061,North,Rep_08,Sports,Sportswear,401.65,4,0.2,1285.28,779.87,505.41,39.32
ORD-00069,2024-08-05,2024-08-10,Same Day,CUST_0220,East,Rep_19,Clothing,Jackets,33.85,2,0.2,54.16,27.75,26.41,48.76
ORD-00070,2024-07-19,2024-07-20,Express,CUST_0123,North,Rep_06,Furniture,Cabinets,209.57,7,0.05,1393.64,915.36,478.28,34.32
ORD-00071,2024-12-20,2024-12-27,Same Day,CUST_0148,North,Rep_08,Clothing,Shoes,124.43,4,0.0,497.72,341.61,156.11,31.37
ORD-00072,2024-10-25,2024-10-27,Express,CUST_0279,West,Rep_04,Sports,Outdoor Gear,456.95,3,0.0,1370.85,641.41,729.44,53.21
ORD-00073,2024-12-17,2024-12-21,Same Day,CUST_0240,West,Rep_04,Office Supplies,Staplers,75.7,9,0.1,613.17,366.76,246.41,40.19
